"alcaldia","nombre_colonia","clave_colonia","año","mes","casos_positivos"
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Junio",127
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Marzo",513
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Noviembre",72
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Octubre",432
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Septiembre",402
"ALVARO OBREGON","BELLA VISTA","10-031",2022,"Enero",2237
"ALVARO OBREGON","BELLA VISTA","10-031",2022,"Febrero",307
"ALVARO OBREGON","BONANZA","10-032",2020,"Diciembre",176
"ALVARO OBREGON","BONANZA","10-032",2020,"Octubre",32
"ALVARO OBREGON","BONANZA","10-032",2021,"Agosto",66
"ALVARO OBREGON","BONANZA","10-032",2021,"Enero",114
"ALVARO OBREGON","BONANZA","10-032",2021,"Febrero",36
"ALVARO OBREGON","BONANZA","10-032",2021,"Julio",24
"ALVARO OBREGON","BONANZA","10-032",2021,"Marzo",5
"ALVARO OBREGON","BONANZA","10-032",2022,"Enero",182
"ALVARO OBREGON","BONANZA","10-032",2022,"Febrero",13
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2020,"Diciembre",106
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2020,"Octubre",43
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2020,"Septiembre",5
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2021,"Agosto",121
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2021,"Diciembre",10
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2021,"Enero",220
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2021,"Febrero",128
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2021,"Julio",52
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2021,"Marzo",5
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2021,"Octubre",6
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2022,"Enero",377
"ALVARO OBREGON","BOSQUES DE TARANGO","10-033",2022,"Febrero",6
"ALVARO OBREGON","CALZADA JALALPA","10-034",2020,"Diciembre",717
"ALVARO OBREGON","CALZADA JALALPA","10-034",2020,"Noviembre",261
"ALVARO OBREGON","CALZADA JALALPA","10-034",2020,"Octubre",53
"ALVARO OBREGON","CALZADA JALALPA","10-034",2020,"Septiembre",22
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Abril",62
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Agosto",607
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Enero",925
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Febrero",135
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Julio",491
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Junio",20
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Marzo",127
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Noviembre",23
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Octubre",96
"ALVARO OBREGON","CALZADA JALALPA","10-034",2021,"Septiembre",262
"ALVARO OBREGON","CALZADA JALALPA","10-034",2022,"Enero",836
"ALVARO OBREGON","CALZADA JALALPA","10-034",2022,"Febrero",252
"ALVARO OBREGON","CAMPO DE TIRO LOS GAMITOS","10-035",2021,"Enero",82
"ALVARO OBREGON","CAMPO DE TIRO LOS GAMITOS","10-035",2021,"Febrero",43
"ALVARO OBREGON","CAMPO DE TIRO LOS GAMITOS","10-035",2022,"Enero",72
"ALVARO OBREGON","CAMPO DE TIRO LOS GAMITOS","10-035",2022,"Febrero",11
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2020,"Diciembre",181
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2020,"Octubre",6
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2021,"Agosto",212
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2021,"Diciembre",10
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2021,"Enero",30
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2021,"Febrero",5
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2021,"Julio",172
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2021,"Septiembre",11
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2022,"Enero",452
"ALVARO OBREGON","CANUTILLO 3RA SECCION","10-038",2022,"Febrero",68
"ALVARO OBREGON","CANUTILLO PREDIO LA PRESA","10-039",2021,"Enero",60
"ALVARO OBREGON","CANUTILLO PREDIO LA PRESA","10-039",2021,"Julio",6
"ALVARO OBREGON","CANUTILLO PREDIO LA PRESA","10-039",2021,"Septiembre",6
"ALVARO OBREGON","CAROLA","10-040",2020,"Diciembre",175
"ALVARO OBREGON","CAROLA","10-040",2020,"Octubre",7
"ALVARO OBREGON","CAROLA","10-040",2021,"Agosto",248
"ALVARO OBREGON","CAROLA","10-040",2021,"Enero",98
"ALVARO OBREGON","CAROLA","10-040",2021,"Julio",34
"ALVARO OBREGON","CAROLA","10-040",2021,"Septiembre",18
"ALVARO OBREGON","CAROLA","10-040",2022,"Enero",248
"ALVARO OBREGON","CHIMALISTAC","10-042",2020,"Diciembre",195
"ALVARO OBREGON","CHIMALISTAC","10-042",2020,"Noviembre",21
